x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-96.17616628,-45.95575047,-96.942061,107,2023-08-03T10:21:08.469885Z,46.5105614,8.476115768,-1.388437939,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.97E-05,12,-4.350787019,MwA
-94.76311856,-41.39786301,-93.588958,108,2023-08-03T10:21:33.577152Z,46.51060223,8.476134963,-1.391791042,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000111419,14,-4.194032785,MwA
-97.27135455,-46.82402514,-98.299612,111,2023-08-03T10:21:39.875605Z,46.51055372,8.47610135,-1.387080388,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000100818,8,-4.497307183,MwA
-84.7780212,-38.65099352,-93.715984,112,2023-08-03T10:21:54.017069Z,46.51062575,8.476265523,-1.391664016,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000107875,16,-4.09977777,MwA
-85.14490206,-42.59934817,-88.118489,117,2023-08-03T10:22:32.150511Z,46.51059028,8.476260064,-1.397261511,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.46E-05,11,-4.437292707,MwA
-101.8899665,-41.26420976,-92.205603,125,2023-08-03T10:23:31.503133Z,46.51060428,8.476042137,-1.393174397,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000117785,20,-3.836430171,MwA
-99.2691121,-47.87106332,-96.558375,126,2023-08-03T10:23:33.453969Z,46.51054454,8.476075143,-1.388821625,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.67E-05,13,-4.448230259,MwA
-94.00529087,-46.86326626,-91.292729,127,2023-08-03T10:23:34.696609Z,46.51055298,8.476143895,-1.394087271,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000151873,13,-4.324876041,MwA
-93.07749386,-45.32664668,-97.746316,130,2023-08-03T10:23:54.866562Z,46.51056669,8.476156246,-1.387633684,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.13E-05,11,-4.480049504,MwA
-105.9388365,-60.32104831,-85.115176,131,2023-08-03T10:23:56.690605Z,46.51043335,8.475986107,-1.400264824,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.81E-05,10,-4.378860684,MwA
-93.48506771,-45.44876216,-98.077649,133,2023-08-03T10:24:10.833661Z,46.51056564,8.476150915,-1.387302351,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.90E-05,8,-4.479764504,MwA
-94.0327636,-45.45937185,-96.584276,138,2023-08-03T10:24:31.524559Z,46.51056561,8.476143778,-1.388795724,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000175072,16,-4.16879264,MwA
-89.29692553,-43.17101347,-97.257256,142,2023-08-03T10:24:48.540943Z,46.51058563,8.476205871,-1.388122744,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000219614,8,-4.378892008,MwA
-71.03774647,-10.81092834,-103.648363,143,2023-08-03T10:24:54.352115Z,46.51087453,8.476449328,-1.381731637,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000266825,8,-3.955565831,MwA
-93.77281554,-49.968806,-84.095967,150,2023-08-03T10:26:04.277631Z,46.51052502,8.47614639,-1.401284033,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.98E-05,9,-4.543217315,MwA
-100.0884764,-57.36994129,-80.003214,156,2023-08-03T10:26:23.980554Z,46.5104592,8.476062835,-1.405376786,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000154055,18,-4.030247811,MwA
-93.3058164,-41.47424167,-91.936125,159,2023-08-03T10:26:48.138495Z,46.51060137,8.476153936,-1.393443875,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000115123,20,-3.993410498,MwA
-102.3527609,-55.34075289,-87.335832,168,2023-08-03T10:27:22.933190Z,46.51047772,8.476033684,-1.398044168,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.24E-05,10,-4.421667211,MwA
-87.99590629,-46.17136628,-85.246786,169,2023-08-03T10:27:24.424915Z,46.51055849,8.476222306,-1.400133214,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000102566,22,-3.813349308,MwA
-107.1448206,-59.04171116,-89.222347,171,2023-08-03T10:27:33.001597Z,46.510445,8.475970615,-1.396157653,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.88E-05,12,-4.264098637,MwA
-105.3654422,-57.83975019,-88.410297,172,2023-08-03T10:27:49.321310Z,46.5104556,8.475994004,-1.396969703,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.80E-05,10,-4.435657038,MwA
-85.91732656,-46.37134798,-105.340927,174,2023-08-03T10:27:51.900006Z,46.51055644,8.476249348,-1.380039073,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000121959,13,-4.346493339,MwA
-85.54217217,-41.77961241,-91.295792,176,2023-08-03T10:27:58.363258Z,46.5105977,8.476255029,-1.394084208,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.08E-05,9,-4.453260511,MwA
-96.37211431,-46.18732569,-98.585647,177,2023-08-03T10:28:16.749739Z,46.51055934,8.476113175,-1.386794353,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000112379,8,-4.370745394,MwA
-88.38889214,-45.29011965,-102.412297,179,2023-08-03T10:28:26.379723Z,46.51056646,8.476217335,-1.382967703,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.54E-05,9,-4.548128843,MwA
